Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4162
2022 (FYTD),FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1069
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,3804
2022 (FYTD),FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4
2022 (FYTD),FYTD,NOV,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2
2021,Remaining,JUN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,654
2019,Remaining,JUL,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,489
2021,Remaining,APR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,12
2019,Remaining,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,168
2020,Remaining,SEP,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,39
2019,Remaining,JUN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0
2022 (FYTD),Remaining,MAR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,12
2022 (FYTD),Remaining,MAY,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,64
2021,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,42
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,108
2021,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1
2020,Remaining,SEP,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,524
2020,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1790
2022 (FYTD),FYTD,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,261
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,963
2022 (FYTD),Remaining,APR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,313
2021,Remaining,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2021,Remaining,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,150
2021,Remaining,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1532
2019,Remaining,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,34164
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,18
2021,Remaining,JUN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,380
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,10731
2022 (FYTD),Remaining,MAY,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2180
2020,Remaining,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,25
2020,Remaining,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,184
2020,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1153
2020,Remaining,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,44
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1739
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4841
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,2
2021,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,10
2019,Remaining,JUL,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2822
2020,FYTD,OCT,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,159
2021,Remaining,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,13118
2020,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,113
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,5272
2021,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,124
2020,Remaining,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,347
2021,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,22
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4
2019,Remaining,JUN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,33
2020,Remaining,APR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,9
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4331
2020,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,150
2021,Remaining,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1972
2022 (FYTD),Remaining,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,52
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,5198
2022 (FYTD),FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,37
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1051
2020,Remaining,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,11
2022 (FYTD),Remaining,MAY,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2
2021,FYTD,NOV,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2
2020,Remaining,MAY,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,720
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,257
2020,Remaining,MAR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,1
2021,Remaining,JUL,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1370
2020,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,33
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,435
2021,Remaining,MAY,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1637
2022 (FYTD),FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,8
2021,Remaining,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,406
2021,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1800
2019,FYTD,NOV,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,20
2022 (FYTD),FYTD,JAN,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1
2021,Remaining,SEP,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,3
2019,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,132
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,4009
2021,Remaining,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1200
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,22
2022 (FYTD),FYTD,OCT,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,14
2020,Remaining,SEP,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,36
2021,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1658
2019,Remaining,JUL,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,25
2022 (FYTD),Remaining,MAY,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,24
2022 (FYTD),FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,7
2020,Remaining,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,42
2020,Remaining,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,120
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,6276
2021,Remaining,JUN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,20
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,8135
2021,Remaining,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,14
2020,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,432
2019,FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3430
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2
2020,Remaining,APR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,1
2020,Remaining,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,2
2020,Remaining,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,22
2021,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,107
2021,Remaining,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1765
2021,Remaining,MAY,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,4346
2020,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,28
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,10439
2022 (FYTD),Remaining,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,16
2019,Remaining,MAR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3233
2019,Remaining,MAR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2009
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,317
2020,Remaining,JUL,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,3
2021,Remaining,JUN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,30
2019,Remaining,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,5234
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,174
2021,FYTD,NOV,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,60
2019,Remaining,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,100
2021,Remaining,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,9
2021,Remaining,MAR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,867
2020,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,36
2021,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,18
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2006
2021,Remaining,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,238
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3981
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,919
2022 (FYTD),Remaining,APR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,957
2022 (FYTD),Remaining,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,172
2020,Remaining,SEP,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,708
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,60864
2020,Remaining,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,13
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,30
2020,Remaining,MAY,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,55
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7
2021,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,26
2020,Remaining,AUG,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,13
2021,Remaining,APR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,25
2022 (FYTD),Remaining,MAY,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1309
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,942
2020,Remaining,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,2
2021,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,82
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,39
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2285
2020,Remaining,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,425
2019,Remaining,JUN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2091
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,964
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,233
2020,Remaining,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,5
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,981
2022 (FYTD),Remaining,MAY,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1
2021,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,66
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,262
2021,Remaining,JUL,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,18203
2020,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,339
2020,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,75
2019,Remaining,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,5817
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3
2021,Remaining,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3572
2019,Remaining,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,15
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,50101
2022 (FYTD),FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,31
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,355
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1261
2021,Remaining,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,29201
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,12
2022 (FYTD),Remaining,JUN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1772
2019,Remaining,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,18036
2020,Remaining,MAR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,148
2021,Remaining,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4
2021,Remaining,MAY,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,278
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,3297
2022 (FYTD),Remaining,MAR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,22
2020,Remaining,MAR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,117
2020,FYTD,NOV,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,55
2022 (FYTD),FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1919
2019,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1773
2021,Remaining,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,449
2021,FYTD,JAN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,5
2021,Remaining,AUG,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,13
2022 (FYTD),FYTD,OCT,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,17
2021,Remaining,MAR,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1730
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1561
2020,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4
2021,FYTD,NOV,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,7
2020,Remaining,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2031
2019,Remaining,MAR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,85
2020,Remaining,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,
2022 (FYTD),Remaining,MAY,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,33
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,463
2022 (FYTD),Remaining,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2190
2020,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,154
2019,Remaining,JUN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,3
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,4674
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,5
2020,Remaining,SEP,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,2
2020,Remaining,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,6
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1219
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,2
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,7888
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,625
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,6
2020,Remaining,AUG,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,30
2019,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,337
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,10
2021,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3665
2022 (FYTD),FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,430
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,14748
2021,Remaining,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,3
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,347
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,27
2022 (FYTD),FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,69
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,5799
2020,Remaining,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,1
2020,Remaining,APR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,178
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,2287
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,76
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,824
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,4297
2021,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,6163
2021,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,762
2022 (FYTD),Remaining,JUN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,13
2019,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,712
2020,Remaining,MAR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,815
2019,Remaining,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2771
2021,Remaining,JUL,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1694
2020,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,6
2021,Remaining,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,53793
2019,Remaining,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,65
2020,FYTD,OCT,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2937
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,816
2019,Remaining,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,8785
2021,Remaining,MAY,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2236
